root_id,x,y,z,t,layer
3,74.051,16.328,-2.978,1950.0,Loam
3,74.232,16.244,-2.978,2000.0,Loam
3,74.397,16.166,-2.976,2050.0,Loam
3,74.547,16.096,-2.974,2100.0,Loam
3,74.683,16.032,-2.972,2150.0,Loam
3,74.808,15.975,-2.972,2200.0,Loam
3,74.922,15.923,-2.973,2250.0,Loam
3,75.025,15.876,-2.973,2300.0,Loam
3,75.119,15.833,-2.974,2350.0,Loam
3,75.204,15.792,-2.973,2400.0,Loam
3,75.281,15.754,-2.973,2450.0,Loam
3,75.351,15.719,-2.973,2500.0,Loam
3,75.414,15.688,-2.972,2550.0,Loam
3,75.472,15.659,-2.972,2600.0,Loam
3,75.525,15.633,-2.972,2650.0,Loam
3,75.573,15.609,-2.971,2700.0,Loam
3,75.616,15.587,-2.971,2750.0,Loam
3,75.655,15.567,-2.971,2800.0,Loam
3,75.691,15.549,-2.971,2850.0,Loam
3,75.724,15.532,-2.970,2900.0,Loam
3,75.754,15.517,-2.970,2950.0,Loam
3,75.781,15.503,-2.970,3000.0,Loam
3,75.805,15.490,-2.970,3050.0,Loam
3,75.828,15.479,-2.970,3100.0,Loam
3,75.848,15.469,-2.970,3150.0,Loam
3,75.867,15.459,-2.970,3200.0,Loam
3,75.884,15.450,-2.969,3250.0,Loam
3,75.899,15.443,-2.969,3300.0,Loam
3,75.913,15.435,-2.969,3350.0,Loam
3,75.926,15.429,-2.969,3400.0,Loam
3,75.937,15.423,-2.969,3450.0,Loam
3,75.948,15.418,-2.969,3500.0,Loam
3,75.957,15.413,-2.969,3550.0,Loam
3,75.966,15.408,-2.969,3600.0,Loam
3,75.974,15.404,-2.969,3650.0,Loam
3,75.981,15.401,-2.969,3700.0,Loam
3,75.988,15.397,-2.969,3750.0,Loam
3,75.994,15.394,-2.969,3800.0,Loam
3,75.999,15.391,-2.969,3850.0,Loam
3,76.004,15.389,-2.969,3900.0,Loam
3,76.009,15.387,-2.969,3950.0,Loam
3,76.013,15.384,-2.969,4000.0,Loam
3,76.017,15.383,-2.968,4050.0,Loam
3,76.020,15.381,-2.968,4100.0,Loam
3,76.023,15.379,-2.968,4150.0,Loam
3,76.026,15.378,-2.968,4200.0,Loam
3,76.029,15.376,-2.968,4250.0,Loam
3,76.031,15.375,-2.968,4300.0,Loam
3,76.033,15.374,-2.968,4350.0,Loam
3,76.035,15.373,-2.968,4400.0,Loam
3,76.037,15.372,-2.968,4450.0,Loam
3,76.038,15.372,-2.968,4500.0,Loam
3,76.040,15.371,-2.968,4550.0,Loam
3,76.041,15.370,-2.968,4600.0,Loam
3,76.042,15.369,-2.968,4650.0,Loam
3,76.043,15.369,-2.968,4700.0,Loam
3,76.044,15.368,-2.968,4750.0,Loam
3,76.045,15.368,-2.968,4800.0,Loam
3,76.046,15.368,-2.968,4850.0,Loam
3,76.047,15.367,-2.968,4900.0,Loam
3,76.048,15.367,-2.968,4950.0,Loam
3,76.048,15.366,-2.968,5000.0,Loam
5,2.060,1.671,-5.850,50.0,Loam
5,1.544,4.791,-12.073,100.0,Loam
5,0.417,4.219,-18.524,150.0,Loam
5,1.381,4.699,-23.046,200.0,Loam
5,1.783,3.981,-27.679,250.0,Loam
5,1.848,4.934,-31.422,300.0,Loam
5,2.462,7.315,-32.902,350.0,Loam
5,2.966,6.705,-36.288,400.0,Loam
5,2.637,6.995,-39.004,450.0,Loam
5,3.864,8.298,-40.245,500.0,Sand
5,3.455,9.093,-41.582,550.0,Sand
5,3.050,8.591,-42.749,600.0,Sand
5,2.363,8.440,-43.970,650.0,Sand
5,2.875,9.245,-44.944,700.0,Sand
5,3.303,9.560,-45.974,750.0,Sand
5,3.300,9.785,-47.000,800.0,Sand
5,3.065,9.962,-47.841,850.0,Sand
5,2.679,10.153,-48.492,900.0,Sand
5,2.511,10.440,-49.048,950.0,Sand
5,2.326,10.584,-49.564,1000.0,Sand
5,2.495,10.181,-49.739,1050.0,Sand
5,2.543,9.789,-49.896,1100.0,Sand
5,2.652,9.492,-50.070,1150.0,Sand
5,2.776,9.258,-50.239,1200.0,Sand
5,2.897,9.079,-50.401,1250.0,Sand
5,2.941,8.962,-50.567,1300.0,Sand
5,2.879,8.924,-50.753,1350.0,Sand
5,2.826,8.890,-50.913,1400.0,Sand
5,2.802,8.865,-51.055,1450.0,Sand
5,2.790,8.844,-51.180,1500.0,Sand
5,2.780,8.826,-51.287,1550.0,Sand
5,2.772,8.810,-51.378,1600.0,Sand
5,2.766,8.796,-51.457,1650.0,Sand
5,2.775,8.779,-51.524,1700.0,Sand
5,2.782,8.764,-51.580,1750.0,Sand
5,2.789,8.751,-51.629,1800.0,Sand
5,2.794,8.739,-51.672,1850.0,Sand
5,2.799,8.730,-51.708,1900.0,Sand
5,2.803,8.721,-51.739,1950.0,Sand
5,2.807,8.714,-51.765,2000.0,Sand
5,2.810,8.708,-51.788,2050.0,Sand
5,2.813,8.703,-51.808,2100.0,Sand
5,2.815,8.699,-51.825,2150.0,Sand
5,2.817,8.695,-51.840,2200.0,Sand
5,2.818,8.691,-51.852,2250.0,Sand
5,2.820,8.688,-51.863,2300.0,Sand
5,2.821,8.686,-51.872,2350.0,Sand
5,2.822,8.684,-51.880,2400.0,Sand
5,2.823,8.682,-51.887,2450.0,Sand
5,2.824,8.680,-51.893,2500.0,Sand
5,2.825,8.679,-51.898,2550.0,Sand
5,2.825,8.678,-51.902,2600.0,Sand
5,2.826,8.677,-51.906,2650.0,Sand
5,2.826,8.676,-51.909,2700.0,Sand
5,2.826,8.675,-51.912,2750.0,Sand
5,2.827,8.675,-51.914,2800.0,Sand
5,2.827,8.674,-51.916,2850.0,Sand
5,2.827,8.674,-51.918,2900.0,Sand
5,2.827,8.673,-51.919,2950.0,Sand
5,2.828,8.673,-51.921,3000.0,Sand
5,2.828,8.673,-51.922,3050.0,Sand
5,2.828,8.673,-51.923,3100.0,Sand
5,2.828,8.672,-51.924,3150.0,Sand
5,2.828,8.672,-51.924,3200.0,Sand
5,2.828,8.672,-51.925,3250.0,Sand
5,2.828,8.672,-51.925,3300.0,Sand
5,2.828,8.672,-51.926,3350.0,Sand
